38000
0.204 0.064 0.204
0 0.0925584 0.0112251 0.0177993
0 0.127461 0.0136353 0.0564267
0 0.120566 0.0232253 0.0385498
0 0.150953 0.0488006 0.0594075
0 0.184915 0.0409714 0.0630802
0 0.0759396 0.0489987 0.0296757
0 0.0889625 0.0565921 0.0211496
0 0.0334161 0.0252412 0.0320604
0 0.0722243 0.0263782 0.0240649
0 0.142306 0.0185753 0.0257125
0 0.0962423 0.0274342 0.0412431
0 0.108575 0.0488467 0.0108923
0 0.14064 0.0591074 0.0517862
0 0.142381 0.0529353 0.0228493
0 0.144011 0.0593824 0.0185036
0 0.167619 0.0600001 0.0305671
0 0.056363 0.0105002 0.0531829
0 0.113858 0.0376005 0.0117384
0 0.127814 0.0253407 0.0148155
0 0.0737546 0.0233085 0.0591423
0 0.0445546 0.0246513 0.0346052
0 0.0741316 0.0243334 0.0106586
0 0.121318 0.0557996 0.0117624
0 0.0861279 0.0465522 0.0524153
0 0.108552 0.0142127 0.0198493
0 0.126352 0.0284355 0.0173587
0 0.060927 0.0599978 0.0262853
0 0.0802139 0.0555216 0.0291505
0 0.0296703 0.0176594 0.0507387
0 0.147324 0.0327917 0.0495747
0 0.103939 0.0573916 0.0337944
0 0.0256029 0.0600003 0.0593881
0 0.0872009 0.042101 0.01629
0 0.139089 0.0426849 0.01873
0 0.0811628 0.0479352 0.0132705
0 0.161593 0.0511009 0.0622019
0 0.0589586 0.0515476 0.0494297
0 0.0649886 0.0159354 0.0112871
0 0.13708 0.00411842 0.0222473
0 0.0683896 0.0121382 0.0431202
0 0.0263167 0.0560377 0.0480586
0 0.0370868 0.042857 0.0578474
0 0.0417889 0.0373022 0.0512748
0 0.109972 0.0567466 0.0316124
0 0.0698166 0.0437868 0.0226657
0 0.0685569 0.0572688 0.0212013
0 0.103316 0.0280787 0.0575317
0 0.170503 0.00732776 0.0549053
0 0.0175704 0.0238019 0.0601294
0 0.0519716 0.0183068 0.0260468
0 0.0726154 0.0273636 0.00853483
0 0.0961713 0.0245652 0.0463201
0 0.0713297 0.0564318 0.0323291
0 0.152432 0.0329974 0.0396472
0 0.121905 0.0168053 0.0504242
0 0.0824298 0.00399972 0.023525
0 0.0733703 0.0379027 0.0282032
0 0.182747 0.0241823 0.0621573
